component;operations;provided;required
"::0";22;22;0
"swm_module.f90::1";5;4;4
"domain_module.f90::2";1;1;1
"calc_lib.f90::3";17;6;2
"diagtask.f90::4";13;3;3
"swm_lateralmixing_module.f90::5";8;3;2
"memchunk_module.f90::6";6;2;2
"grid_module.f90::7";12;3;1
"init_vars.f90::8";3;3;0
"tracer_vars.f90::9";5;2;2
"f_udunits_2.f90::10";15;10;3
"logging.f90::11";10;8;0
"tracer_module.f90::12";9;0;0
"diag_module.f90::13";3;3;3
"time_integration_module.f90::14";2;2;0
"vars_module.f90::15";8;4;3
"io_module.f90::16";36;10;5
"model.f90::17";11;0;0
"swm_nonlinear_timestep_module.f90::18";5;0;0
"calendar_module.f90::19";9;4;3
"generic_list.f90::20";5;5;0
"swm_timestep_module_old.f90::21";8;5;2
"str.f90::22";2;1;0
"swm_timestep_module.f90::23";11;9;3
"swm_forcing_module.f90::24";12;3;2
"swm_vars.f90::25";2;2;2
"<unknown>::26";1;0;0
"swm_damping_module.f90::27";5;2;2
"dynfromfile_module.f90::28";4;0;0
"elsolv_sor.f90::29";5;0;0
"diagvar.f90::30";10;5;4
